leak_ID,facility_ID,equipment_group,rate,lat,lon,status,days_active,volume,estimated_volume,estimated_volume_b,measured_rate,tagged,component,date_began,day_ts_began,estimated_date_began,date_tagged,tagged_by_company,tagged_by_crew,init_detect_by,init_detect_date,requires_shutdown,date_repaired,repair_delay,M_OGI_2x_sp_covered,estimated_volume_a,cum_frac_leaks,cum_rate,cum_frac_rate
ABRAND01075_0000000002,ABRAND01075,1,0.0850676993727905,51.05,-112.29,repaired,25,205.79577832265483,,0.0,0.0850676993727905,True,unknown,2022-01-04,0,0.0,2022-01-13 10:30:00,M_OGI_2x,1.0,M_OGI_2x,2022-01-13 10:30:00,False,2022-01-29 16:00:00,16.0,1.0,0.0,0.26900085397096496,68.44944396523663,0.7145234037806356
ABRAND00573_0000000001,ABRAND00573,1,0.08472602476665521,52.55,-115.44,repaired,298,183.00821349597527,,0.0,0.08472602476665521,True,unknown,2021-04-04,0,0.0,2022-01-10 08:00:00,M_OGI_2x,1.0,M_OGI_2x,2022-01-10 08:00:00,False,2022-01-26 16:00:00,16.0,1.0,0.0,0.2698548249359522,68.53416999000328,0.7154078335743358
ABRAND00095_0000000005,ABRAND00095,2,0.08467660102919558,54.72,-119.5,repaired,192,5626.048854941401,,0.0,0.08467660102919558,True,unknown,2023-08-01,0,661.0,2024-01-23 13:00:00,M_OGI_2x,1.0,M_OGI_2x,2024-01-23 13:00:00,False,2024-02-09 00:00:00,16.0,1.0,0.0,0.2707087959009394,68.61884659103248,0.7162917474483286
ABRAND00691_0000000005,ABRAND00691,2,0.08449776454380317,53.03,-115.02,repaired,36,4212.450156249311,,0.0,0.08449776454380317,True,unknown,2023-06-26,0,469.5,2023-07-16 13:00:00,M_OGI_2x,1.0,M_OGI_2x,2023-07-16 13:00:00,False,2023-08-01 16:00:00,16.0,1.0,0.0,0.27156276686592656,68.70334435557628,0.7171737945013967
ABRAND00095_0000000009,ABRAND00095,2,0.08430965892515181,54.72,-119.5,repaired,135,8267.742392836088,,0.0,0.08430965892515181,True,unknown,2024-09-27,0,1027.0,2025-01-23 13:00:00,M_OGI_2x,1.0,M_OGI_2x,2025-01-23 13:00:00,False,2025-02-09 00:00:00,16.0,1.0,0.0,0.27241673783091375,68.78765401450143,0.7180538779758129
ABRAND00513_0000000005,ABRAND00513,3,0.08413913224680417,53.44,-115.67,repaired,203,298.0544620710791,,0.0,0.08413913224680417,True,unknown,2021-07-24,0,0.0,2022-01-25 10:30:00,M_OGI_2x,1.0,M_OGI_2x,2022-01-25 10:30:00,False,2022-02-11 00:00:00,16.0,1.0,0.0,0.27327070879590093,68.87179314674823,0.7189321813729109
ABRAND00487_0000000011,ABRAND00487,1,0.08386408325418829,53.65,-115.76,repaired,365,7992.180042857541,,,0.08386408325418829,True,unknown,2024-01-09,0,1010.0,2025-01-08 00:00:00,natural,1.0,M_OGI_2x,2025-01-06 10:30:00,False,2025-01-08 16:00:00,0.0,1.0,,0.2741246797608881,68.95565723000242,0.7198076136153139
ABRAND01067_0000000004,ABRAND01067,1,0.08318433771509438,50.17,-112.68,repaired,159,1667.413412631524,,0.0,0.08318433771509438,True,unknown,2022-03-15,0,107.5,2022-08-04 08:00:00,M_OGI_2x,1.0,M_OGI_2x,2022-08-04 08:00:00,False,2022-08-21 00:00:00,16.0,1.0,0.0,0.2749786507258753,69.03884156771751,0.7206759501960407
ABRAND00556_0000000007,ABRAND00556,2,0.08310464703004672,53.17,-115.53,repaired,220,2850.5558768482265,,0.0,0.08310464703004672,True,unknown,2022-06-27,0,290.0,2023-01-17 10:30:00,M_OGI_2x,1.0,M_OGI_2x,2023-01-17 10:30:00,False,2023-02-02 16:00:00,16.0,1.0,0.0,0.27583262169086253,69.12194621474755,0.7215434549093888
ABRAND01104_0000000008,ABRAND01104,1,0.08302550900487346,55.79,-111.22,repaired,290,9253.691131647176,,0.0,0.08302550900487346,True,unknown,2024-09-27,0,1183.0,2025-06-28 13:00:00,M_OGI_2x,1.0,M_OGI_2x,2025-06-28 13:00:00,False,2025-07-14 16:00:00,16.0,1.0,0.0,0.2766865926558497,69.20497172375242,0.7224101335244102
ABRAND00421_0000000005,ABRAND00421,1,0.08301718608305997,53.19,-115.92,repaired,135,1556.472618434075,,0.0,0.08301718608305997,True,unknown,2022-03-24,0,100.0,2022-07-20 08:00:00,M_OGI_2x,1.0,M_OGI_2x,2022-07-20 08:00:00,False,2022-08-06 00:00:00,16.0,1.0,0.0,0.2775405636208369,69.28798890983548,0.7232767252589242
ABRAND00594_0000000002,ABRAND00594,1,0.08268769504684698,52.95,-115.36,repaired,236,321.48975834214104,,0.0,0.08268769504684698,True,unknown,2021-06-25,0,0.0,2022-01-29 13:00:00,M_OGI_2x,1.0,M_OGI_2x,2022-01-29 13:00:00,False,2022-02-15 00:00:00,16.0,1.0,0.0,0.2783945345858241,69.37067660488232,0.7241398775344292
ABRAND00573_0000000009,ABRAND00573,1,0.08259070070674747,52.55,-115.44,repaired,168,7999.272762531602,,0.0,0.08259070070674747,True,unknown,2024-08-11,0,1014.0,2025-01-10 08:00:00,M_OGI_2x,1.0,M_OGI_2x,2025-01-10 08:00:00,False,2025-01-26 16:00:00,16.0,1.0,0.0,0.27924850555081127,69.45326730558907,0.7250020173148426
ABRAND00721_0000000003,ABRAND00721,1,0.08256819961583854,52.33,-114.83,repaired,178,128.4100640425521,,0.0,0.08256819961583854,True,unknown,2021-07-26,0,0.0,2022-01-03 08:00:00,M_OGI_2x,1.0,M_OGI_2x,2022-01-03 08:00:00,False,2022-01-19 16:00:00,16.0,1.0,0.0,0.28010247651579845,69.5358355052049,0.725863922213055
ABRAND00387_0000000009,ABRAND00387,1,0.08211507557398592,53.08,-116.02,repaired,59,4171.708607400322,,0.0,0.08211507557398592,True,unknown,2023-06-14,0,479.5,2023-07-26 13:00:00,M_OGI_2x,1.0,M_OGI_2x,2023-07-26 13:00:00,False,2023-08-12 00:00:00,16.0,1.0,0.0,0.28095644748078563,69.61795058077888,0.7267210970840534
ABRAND00314_0000000013,ABRAND00314,1,0.08205464981140612,54.26,-116.33,repaired,239,10627.193093814527,,0.0,0.08205464981140612,True,unknown,2025-06-14,0,1391.0,2026-01-22 08:00:00,M_OGI_2x,1.0,M_OGI_2x,2026-01-22 08:00:00,False,2026-02-08 00:00:00,16.0,1.0,0.0,0.2818104184457728,69.70000523059029,0.7275776411884739
