leak_ID,facility_ID,equipment_group,rate,lat,lon,status,days_active,volume,estimated_volume,estimated_volume_b,measured_rate,tagged,component,date_began,day_ts_began,estimated_date_began,date_tagged,tagged_by_company,tagged_by_crew,init_detect_by,init_detect_date,requires_shutdown,date_repaired,repair_delay,M_Air_sp_covered,M_OGI_FollowUp_sp_covered,estimated_volume_a,cum_frac_leaks,cum_rate,cum_frac_rate
ABRAND01138_0000000003,ABRAND01138,4,0.19883536714326353,54.86,-110.67,repaired,365,8074.306588953646,,,,True,unknown,2022-04-16,0,,2023-04-16 00:00:00,natural,1.0,natural,2023-04-16 00:00:00,False,2023-04-16 00:00:00,0.0,1.0,,,0.09414990859232175,39.947863609932334,0.4498255727634001
ABRAND00957_0000000006,ABRAND00957,1,0.1979486002662894,52.9,-114.12,repaired,365,27860.394513639065,,,,True,unknown,2025-06-18,0,,2026-06-18 00:00:00,natural,1.0,natural,2026-06-18 00:00:00,False,2026-06-18 00:00:00,0.0,1.0,,,0.09506398537477148,40.14581221019862,0.4520545365788858
ABRAND00477_0000000014,ABRAND00477,1,0.1975296815199421,53.33,-115.79,repaired,365,24422.25377563521,,,,True,unknown,2024-12-02,0,,2025-12-02 00:00:00,natural,1.0,natural,2025-12-02 00:00:00,False,2025-12-02 00:00:00,0.0,1.0,,,0.09597806215722121,40.343341891718566,0.454278783236857
ABRAND00331_0000000005,ABRAND00331,1,0.19510383397548506,53.42,-116.24,repaired,365,11125.601028618063,,,,True,unknown,2022-10-23,0,,2023-10-23 00:00:00,natural,1.0,natural,2023-10-23 00:00:00,False,2023-10-23 00:00:00,0.0,1.0,,,0.09689213893967093,40.538445725694054,0.45647571408460674
ABRAND00651_0000000005,ABRAND00651,3,0.19208750248396564,52.78,-115.15,repaired,365,12862.17916632634,,,,True,unknown,2023-02-15,0,,2024-02-15 00:00:00,natural,1.0,natural,2024-02-15 00:00:00,False,2024-02-15 00:00:00,0.0,1.0,,,0.09780621572212066,40.73053322817802,0.4586386800862243
ABRAND00477_0000000002,ABRAND00477,1,0.1910988923919579,53.33,-115.79,repaired,365,4705.619126259571,,,,True,unknown,2021-10-14,0,,2022-10-13 00:00:00,natural,1.0,natural,2022-10-13 00:00:00,False,2022-10-13 00:00:00,0.0,1.0,,,0.09872029250457039,40.921632120569974,0.4607905140256816
ABRAND00786_0000000008,ABRAND00786,1,0.1902317166198208,52.45,-114.55,repaired,365,19427.376013455876,,,,True,unknown,2024-03-28,0,,2025-03-28 00:00:00,natural,1.0,natural,2025-03-28 00:00:00,False,2025-03-28 00:00:00,0.0,1.0,,,0.0996343692870201,41.111863837189794,0.46293258329180875
ABRAND00515_0000000003,ABRAND00515,1,0.1882296145049093,52.48,-115.65,repaired,365,8196.571501384979,,,,True,unknown,2022-05-20,0,,2023-05-20 00:00:00,natural,1.0,natural,2023-05-20 00:00:00,False,2023-05-20 00:00:00,0.0,1.0,,,0.10054844606946983,41.30009345169471,0.46505210825520765
ABRAND01099_0000000007,ABRAND01099,2,0.18804497446938562,50.23,-111.31,repaired,365,19187.80832289696,,,,True,unknown,2024-03-27,0,,2025-03-27 00:00:00,natural,1.0,natural,2025-03-27 00:00:00,False,2025-03-27 00:00:00,0.0,1.0,,,0.10146252285191956,41.48813842616409,0.4671695541134372
ABRAND00124_0000000012,ABRAND00124,1,0.1877598424992899,54.83,-119.3,repaired,39,10658.149907503692,,0.0,0.1877598424992899,True,unknown,2023-09-11,0,594.5,2023-10-03 08:00:00,M_OGI_FollowUp,1.0,M_Air,2023-09-30 16:05:00,False,2023-10-20 00:00:00,16.0,1.0,1.0,0.0,0.10237659963436929,41.67589826866338,0.46928378929554615
ABRAND00593_0000000011,ABRAND00593,3,0.18687569492408973,53.04,-115.36,repaired,365,25026.3930642341,,,,True,unknown,2025-03-31,0,,2026-03-31 00:00:00,natural,1.0,natural,2026-03-31 00:00:00,False,2026-03-31 00:00:00,0.0,1.0,,,0.10329067641681901,41.86277396358747,0.4713880686964573
ABRAND00331_0000000009,ABRAND00331,3,0.18518838707869376,53.42,-116.24,repaired,365,17600.304307959057,,,,True,unknown,2024-01-06,0,,2025-01-05 00:00:00,natural,1.0,natural,2025-01-05 00:00:00,False,2025-01-05 00:00:00,0.0,1.0,,,0.10420475319926874,42.04796235066617,0.4734733484776292
ABRAND00344_0000000003,ABRAND00344,3,0.18384309287569153,53.02,-116.19,repaired,365,9975.179144960723,,,,True,unknown,2022-09-21,0,,2023-09-21 00:00:00,natural,1.0,natural,2023-09-21 00:00:00,False,2023-09-21 00:00:00,0.0,1.0,,,0.10511882998171847,42.23180544354186,0.4755434798207942
ABRAND00065_0000000013,ABRAND00065,2,0.1826849667140844,55.03,-119.62,repaired,365,27479.91113705269,,,,True,unknown,2025-10-08,0,,2026-10-08 00:00:00,natural,1.0,natural,2026-10-08 00:00:00,False,2026-10-08 00:00:00,0.0,1.0,,,0.10603290676416818,42.414490410255944,0.477600570297267
ABRAND00721_0000000008,ABRAND00721,1,0.18000670396035354,52.33,-114.83,repaired,365,9533.731063192998,,,,True,unknown,2022-09-06,0,,2023-09-06 00:00:00,natural,1.0,natural,2023-09-06 00:00:00,False,2023-09-06 00:00:00,0.0,1.0,,,0.10694698354661791,42.594497114216296,0.47962750268846716
ABRAND00660_0000000006,ABRAND00660,4,0.1782058789879369,52.87,-115.13,repaired,91,3110.1915648006657,,0.0,0.1782058789879369,True,unknown,2022-04-22,0,139.5,2022-07-05 08:00:00,M_OGI_FollowUp,1.0,M_Air,2022-07-02 16:05:00,False,2022-07-22 00:00:00,16.0,1.0,1.0,0.0,0.10786106032906764,42.772702993204234,0.48163415722119224
ABRAND00035_0000000005,ABRAND00035,4,0.1776549084816839,55.35,-119.82,repaired,365,14259.577822227448,,,,True,unknown,2023-07-19,0,,2024-07-18 00:00:00,natural,1.0,natural,2024-07-18 00:00:00,False,2024-07-18 00:00:00,0.0,1.0,,,0.10877513711151737,42.95035790168592,0.4836346076518414
ABRAND00731_0000000005,ABRAND00731,1,0.17697174948828054,53.13,-114.79,repaired,365,7339.372394777972,,,,True,unknown,2022-04-26,0,,2023-04-26 00:00:00,natural,1.0,natural,2023-04-26 00:00:00,False,2023-04-26 00:00:00,0.0,1.0,,,0.10968921389396709,43.1273296511742,0.48562736549626123
ABRAND00593_0000000009,ABRAND00593,3,0.1754277369977164,53.04,-115.36,repaired,365,16278.571255871298,,,,True,unknown,2023-12-11,0,,2024-12-10 00:00:00,natural,1.0,natural,2024-12-10 00:00:00,False,2024-12-10 00:00:00,0.0,1.0,,,0.11060329067641682,43.30275738817192,0.48760273727193654
ABRAND00668_0000000012,ABRAND00668,1,0.1752215227081848,52.95,-115.1,repaired,365,19665.74229102133,,,,True,unknown,2024-07-23,0,,2025-07-23 00:00:00,natural,1.0,natural,2025-07-23 00:00:00,False,2025-07-23 00:00:00,0.0,1.0,,,0.11151736745886655,43.477978910880104,0.4895757870095222
ABRAND00757_0000000008,ABRAND00757,1,0.17463634068333636,52.71,-114.66,repaired,365,16642.70355804941,,,,True,unknown,2024-01-09,0,,2025-01-08 00:00:00,natural,1.0,natural,2025-01-08 00:00:00,False,2025-01-08 00:00:00,0.0,1.0,,,0.11243144424131626,43.65261525156344,0.4915422474125174
ABRAND00514_0000000010,ABRAND00514,1,0.17462405140913978,54.13,-115.65,repaired,365,12522.639974652233,,,,True,unknown,2023-04-11,0,,2024-04-10 00:00:00,natural,1.0,natural,2024-04-10 00:00:00,False,2024-04-10 00:00:00,0.0,1.0,,,0.113345521023766,43.82723930297258,0.49350856943440025
ABRAND00556_0000000002,ABRAND00556,4,0.17237364734649355,53.17,-115.53,repaired,365,3559.446868246154,,,,True,unknown,2021-08-29,0,,2022-08-28 00:00:00,natural,1.0,natural,2022-08-28 00:00:00,False,2022-08-28 00:00:00,0.0,1.0,,,0.11425959780621572,43.999612950319076,0.4954495511951289
ABRAND00641_0000000005,ABRAND00641,1,0.1713790925170876,52.42,-115.18,repaired,365,9802.335678881356,,,,True,unknown,2022-10-25,0,,2023-10-25 00:00:00,natural,1.0,natural,2023-10-25 00:00:00,False,2023-10-25 00:00:00,0.0,1.0,,,0.11517367458866545,44.17099204283616,0.4973793339540748
ABRAND00331_0000000014,ABRAND00331,3,0.1700778825375258,53.42,-116.24,repaired,365,24334.47130885713,,,,True,unknown,2025-07-15,0,,2026-07-15 00:00:00,natural,1.0,natural,2026-07-15 00:00:00,False,2026-07-15 00:00:00,0.0,1.0,,,0.11608775137111517,44.34106992537369,0.4992944646773059
ABRAND00162_0000000012,ABRAND00162,1,0.1658881710500815,54.7,-119.03,repaired,299,25067.9587247936,,0.0,0.1658881710500815,True,unknown,2025-12-21,0,1686.5,2026-09-29 08:00:00,M_OGI_FollowUp,1.0,M_Air,2026-09-26 16:05:00,False,2026-10-16 00:00:00,16.0,1.0,1.0,0.0,0.1170018281535649,44.50695809642377,0.5011624179247163
ABRAND00294_0000000015,ABRAND00294,2,0.16331730584268506,54.04,-117.24,repaired,365,25032.231408809374,,,,True,unknown,2025-11-10,0,,2026-11-10 00:00:00,natural,1.0,natural,2026-11-10 00:00:00,False,2026-11-10 00:00:00,0.0,1.0,,,0.11791590493601463,44.670275402266455,0.5030014224171766
ABRAND00573_0000000002,ABRAND00573,1,0.16238205122490756,52.55,-115.44,repaired,365,2932.230128198891,,,,True,unknown,2021-07-30,0,,2022-07-29 00:00:00,natural,1.0,natural,2022-07-29 00:00:00,False,2022-07-29 00:00:00,0.0,1.0,,,0.11882998171846434,44.832657453491365,0.5048298956469836
ABRAND00149_0000000007,ABRAND00149,1,0.16156856685908566,54.54,-119.14,repaired,365,23842.867293675503,,,,True,unknown,2025-09-05,0,,2026-09-05 00:00:00,natural,1.0,natural,2026-09-05 00:00:00,False,2026-09-05 00:00:00,0.0,1.0,,,0.11974405850091407,44.99422602035045,0.5066492087856687
ABRAND00976_0000000012,ABRAND00976,2,0.16089915427096754,56.07,-114.05,repaired,365,15166.740439551651,,,,True,unknown,2023-12-28,0,,2024-12-27 00:00:00,natural,1.0,natural,2024-12-27 00:00:00,False,2024-12-27 00:00:00,0.0,1.0,,,0.1206581352833638,45.15512517462142,0.5084609841269936
ABRAND00149_0000000008,ABRAND00149,1,0.16078600565778572,54.54,-119.14,repaired,365,24102.46539212471,,,,True,unknown,2025-10-02,0,,2026-10-02 00:00:00,natural,1.0,natural,2026-10-02 00:00:00,False,2026-10-02 10:05:00,0.0,1.0,,,0.12157221206581353,45.3159111802792,0.5102714853791649
ABRAND00477_0000000010,ABRAND00477,1,0.16055570909486236,53.33,-115.79,repaired,365,15883.455189336546,,,,True,unknown,2024-02-20,0,,2025-02-19 00:00:00,natural,1.0,natural,2025-02-19 00:00:00,False,2025-02-19 00:00:00,0.0,1.0,,,0.12248628884826325,45.476466889374066,0.5120793934192353
ABRAND00640_0000000010,ABRAND00640,3,0.15993268258492857,53.04,-115.18,repaired,365,22233.457694518565,,,,True,unknown,2025-05-29,0,,2026-05-29 00:00:00,natural,1.0,natural,2026-05-29 00:00:00,False,2026-05-29 00:00:00,0.0,1.0,,,0.12340036563071298,45.636399571959,0.5138802859838495
ABRAND01038_0000000002,ABRAND01038,2,0.15832533281195624,53.72,-113.16,repaired,365,1326.892949230443,,,,True,unknown,2021-04-09,0,,2022-04-08 00:00:00,natural,1.0,natural,2022-04-08 00:00:00,False,2022-04-08 00:00:00,0.0,1.0,,,0.12431444241316271,45.79472490477095,0.5156630792818968
ABRAND00514_0000000006,ABRAND00514,1,0.15679012984934348,54.13,-115.65,repaired,118,3969.1734951621006,,0.0,0.15679012984934348,True,unknown,2022-06-25,0,230.5,2022-10-04 08:00:00,M_OGI_FollowUp,1.0,M_Air,2022-10-01 16:05:00,False,2022-10-21 00:00:00,16.0,1.0,1.0,0.0,0.12522851919561243,45.95151503462029,0.5174285857092691
ABRAND00744_0000000011,ABRAND00744,1,0.1552670193935607,53.27,-114.73,repaired,365,22201.941637124033,,,,True,unknown,2025-07-14,0,,2026-07-14 00:00:00,natural,1.0,natural,2026-07-14 00:00:00,False,2026-07-14 00:00:00,0.0,1.0,,,0.12614259597806216,46.106782054013856,0.5191769414314161
ABRAND00786_0000000006,ABRAND00786,1,0.15495310896376258,52.45,-114.55,repaired,365,14499.148349470022,,,,True,unknown,2023-12-20,0,,2024-12-19 00:00:00,natural,1.0,natural,2024-12-19 00:00:00,False,2024-12-19 00:00:00,0.0,1.0,,,0.12705667276051189,46.261735162977615,0.5209217624228887
ABRAND00144_0000000003,ABRAND00144,2,0.15475372285691916,54.7,-119.15,repaired,233,5134.357115457722,,0.0,0.15475372285691916,True,unknown,2022-06-01,0,321.5,2023-01-03 08:00:00,M_OGI_FollowUp,1.0,M_Air,2022-12-31 16:05:00,False,2023-01-20 00:00:00,16.0,1.0,1.0,0.0,0.12797074954296161,46.41648888583453,0.5226643382637673
ABRAND00414_0000000001,ABRAND00414,2,0.1545592647407177,53.96,-115.95,repaired,365,3512.081084556277,,,,True,unknown,2021-09-22,0,,2022-09-21 00:00:00,natural,1.0,natural,2022-09-21 00:00:00,False,2022-09-21 00:00:00,0.0,1.0,,,0.12888482632541134,46.57104815057525,0.5244047244447845
ABRAND00757_0000000007,ABRAND00757,5,0.15455545341640894,52.71,-114.66,repaired,365,12659.20443406849,,,,True,unknown,2023-08-07,0,,2024-08-06 00:00:00,natural,1.0,natural,2024-08-06 00:00:00,False,2024-08-06 00:00:00,0.0,1.0,,,0.12979890310786105,46.72560360399166,0.526145067709085
ABRAND00593_0000000010,ABRAND00593,4,0.1542729347609143,53.04,-115.36,repaired,365,14862.037443127441,,,,True,unknown,2024-01-21,0,,2025-01-20 00:00:00,natural,1.0,natural,2025-01-20 00:00:00,False,2025-01-20 00:00:00,0.0,1.0,,,0.13071297989031078,46.87987653875257,0.5278822297240134
ABRAND00417_0000000004,ABRAND00417,1,0.1530238011973864,53.88,-115.94,repaired,365,8607.037931668674,,,,True,unknown,2022-10-14,0,,2023-10-14 00:00:00,natural,1.0,natural,2023-10-14 00:00:00,False,2023-10-14 00:00:00,0.0,1.0,,,0.1316270566727605,47.032900339949954,0.5296053261001343
ABRAND00793_0000000003,ABRAND00793,1,0.15260538383590866,52.29,-114.52,repaired,365,4957.599541446863,,,,True,unknown,2022-01-12,0,,2023-01-12 00:00:00,natural,1.0,natural,2023-01-12 00:00:00,False,2023-01-12 00:00:00,0.0,1.0,,,0.13254113345521024,47.185505723785866,0.5313237109644929
ABRAND00162_0000000003,ABRAND00162,1,0.1513480487238386,54.7,-119.03,repaired,22,261.5294281947931,,0.0,0.1513480487238386,True,unknown,2021-12-31,0,0.0,2022-01-04 08:00:00,M_OGI_FollowUp,1.0,M_Air,2022-01-01 16:05:00,False,2022-01-21 00:00:00,16.0,1.0,1.0,0.0,0.13345521023765997,47.336853772509706,0.5330279378380146
ABRAND00124_0000000004,ABRAND00124,2,0.1513396597228147,54.83,-119.3,repaired,365,470.7268776018429,,,,True,unknown,2021-02-07,0,,2022-02-06 00:00:00,natural,1.0,natural,2022-02-06 00:00:00,False,2022-02-06 00:00:00,0.0,1.0,,,0.1343692870201097,47.48819343223252,0.5347320702487327
