leak_ID,facility_ID,equipment_group,rate,lat,lon,status,days_active,volume,estimated_volume,estimated_volume_b,measured_rate,tagged,component,date_began,day_ts_began,estimated_date_began,date_tagged,tagged_by_company,tagged_by_crew,init_detect_by,init_detect_date,requires_shutdown,date_repaired,repair_delay,cum_frac_leaks,cum_rate,cum_frac_rate
ABRAND00758_0000000018,ABRAND00758,1,0.4978274607348147,52.95,-114.66,active,120,78454.4217160581,,,,False,unknown,2026-09-01,0,,,,,,,False,,,0.0,0.4978274607348147,0.03158306316412102
ABRAND00323_0000000014,ABRAND00323,1,0.4619415874955345,53.31,-116.29,active,10,72799.03776313626,,,,False,unknown,2026-12-20,0,,,,,,,False,,,0.004424778761061947,0.9597690482303491,0.060889462442439306
ABRAND00940_0000000014,ABRAND00940,4,0.43542922796929767,52.43,-114.17,active,23,68620.85958090231,,,,False,unknown,2026-12-07,0,,,,,,,False,,,0.008849557522123894,1.3951982761996469,0.08851387028478686
ABRAND01067_0000000014,ABRAND01067,1,0.33723934138636125,50.17,-112.68,active,337,53146.76187070566,,,,False,unknown,2026-01-27,0,,,,,,,False,,,0.01327433628318584,1.7324376175860081,0.10990893636794469
ABRAND01056_0000000012,ABRAND01056,1,0.32361037180546376,54.6,-112.86,active,240,50998.92349016154,,,,False,unknown,2026-05-04,0,,,,,,,False,,,0.017699115044247787,2.056047989391472,0.13043935628132308
ABRAND00587_0000000014,ABRAND00587,2,0.3017176309791109,52.83,-115.39,active,72,47548.76764946961,,,,False,unknown,2026-10-19,0,,,,,,,False,,,0.022123893805309734,2.3577656203705826,0.14958086161908962
ABRAND00715_0000000016,ABRAND00715,1,0.3008853420053947,52.8,-114.88,active,178,47417.60423386137,,,,False,unknown,2026-07-05,0,,,,,,,False,,,0.02654867256637168,2.6586509623759773,0.16866956505800373
ABRAND00661_0000000009,ABRAND00661,1,0.27698132984548063,52.92,-115.13,active,112,43650.484903136734,,,,False,unknown,2026-09-09,0,,,,,,,False,,,0.030973451327433628,2.9356322922214577,0.1862417552760358
ABRAND00088_0000000016,ABRAND00088,4,0.27482206151965566,54.55,-119.53,active,344,43310.198034304005,,,,False,unknown,2026-01-20,0,,,,,,,False,,,0.035398230088495575,3.210454353741113,0.20367695765530508
ABRAND01157_0000000009,ABRAND01157,4,0.2583150931912964,54.71,-110.48,active,231,40708.805470351894,,,,False,unknown,2026-05-13,0,,,,,,,False,,,0.03982300884955752,3.4687694469324097,0.2200649284845245
ABRAND00587_0000000010,ABRAND00587,2,0.24944135903309492,52.83,-115.39,active,342,39310.36175891795,,,,False,unknown,2026-01-22,0,,,,,,,False,,,0.04424778761061947,3.7182108059655046,0.2358899337714124
ABRAND00926_0000000015,ABRAND00926,4,0.24606380343010953,52.67,-114.2,active,278,38778.08061224331,,,,False,unknown,2026-03-27,0,,,,,,,False,,,0.048672566371681415,3.964274609395614,0.25150066089897183
ABRAND00525_0000000010,ABRAND00525,4,0.24489222088166618,53.94,-115.62,active,272,38593.44670073695,,,,False,unknown,2026-04-02,0,,,,,,,False,,,0.05309734513274336,4.2091668302772804,0.267037060737364
ABRAND00417_0000000013,ABRAND00417,1,0.2366973573680055,53.88,-115.94,active,338,37301.98865811052,,,,False,unknown,2026-01-26,0,,,,,,,False,,,0.05752212389380531,4.445864187645286,0.282053563799489
ABRAND00282_0000000009,ABRAND00282,1,0.2351393136881352,53.96,-117.43,active,7,37056.45094564251,,,,False,unknown,2026-12-23,0,,,,,,,False,,,0.061946902654867256,4.6810035013334215,0.2969712217880996
ABRAND00943_0000000008,ABRAND00943,1,0.20047695404227908,52.68,-114.17,active,284,31593.88490455731,,,,False,unknown,2026-03-21,0,,,,,,,False,,,0.0663716814159292,4.8814804553757005,0.30968983777831044
ABRAND00843_0000000010,ABRAND00843,2,0.19711208117490783,52.37,-114.38,active,270,31063.602475845957,,,,False,unknown,2026-04-04,0,,,,,,,False,,,0.07079646017699115,5.078592536550608,0.3221949802245899
ABRAND00938_0000000012,ABRAND00938,3,0.194057973970523,52.81,-114.18,active,1,30582.29472672101,,,,False,unknown,2026-12-29,0,,,,,,,False,,,0.0752212389380531,5.272650510521131,0.3345063646555849
ABRAND00289_0000000009,ABRAND00289,1,0.17800238189353296,54.67,-117.3,active,282,28052.036171176675,,,,False,unknown,2026-03-23,0,,,,,,,False,,,0.07964601769911504,5.450652892414664,0.3457991536520162
ABRAND00021_0000000011,ABRAND00021,1,0.1773314648443711,57.31,-119.89,active,35,27946.303938097884,,,,False,unknown,2026-11-25,0,,,,,,,False,,,0.08407079646017698,5.6279843572590345,0.35704937847267804
ABRAND01113_0000000012,ABRAND01113,4,0.17321635289304915,50.22,-110.96,active,269,27297.788631286032,,,,False,unknown,2026-04-05,0,,,,,,,False,,,0.08849557522123894,5.8012007101520835,0.36803853324209324
ABRAND00275_0000000012,ABRAND00275,3,0.16775780136219948,54.09,-117.53,active,266,26437.555844753922,,,,False,unknown,2026-04-08,0,,,,,,,False,,,0.09292035398230089,5.968958511514283,0.3786813877541282
ABRAND01030_0000000017,ABRAND01030,2,0.16610164734748373,50.11,-113.36,active,231,26176.556571420413,,,,False,unknown,2026-05-13,0,,,,,,,False,,,0.09734513274336283,6.135060158861767,0.3892191728977938
ABRAND00542_0000000015,ABRAND00542,2,0.1612495361860442,53.14,-115.59,active,330,25411.894905888978,,,,False,unknown,2026-02-03,0,,,,,,,False,,,0.10176991150442477,6.29630969504781,0.3994491314441382
ABRAND00802_0000000012,ABRAND00802,1,0.15966725881426239,52.5,-114.5,active,21,25162.538118671342,,,,False,unknown,2026-12-09,0,,,,,,,False,,,0.10619469026548672,6.455976953862073,0.40957870748827513
ABRAND00095_0000000013,ABRAND00095,2,0.15465876824293884,54.72,-119.5,active,236,24373.23205897041,,,,False,unknown,2026-05-08,0,,,,,,,False,,,0.11061946902654868,6.610635722105012,0.4193905359460545
