leak_ID,facility_ID,equipment_group,rate,lat,lon,status,days_active,volume,estimated_volume,estimated_volume_b,measured_rate,tagged,component,date_began,day_ts_began,estimated_date_began,date_tagged,tagged_by_company,tagged_by_crew,init_detect_by,init_detect_date,requires_shutdown,date_repaired,repair_delay,cum_frac_leaks,cum_rate,cum_frac_rate
ABRAND00233_0000000014,ABRAND00233,2,0.010884093938036838,54.54,-118.55,repaired,365,1387.0689314634149,,,,True,unknown,2025-01-15,0,,2026-01-15,natural,1.0,natural,2026-01-15,False,2026-01-15,0.0,0.8475665748393021,86.18754138559532,0.9879119245277846
ABRAND01104_0000000009,ABRAND01104,2,0.010647890761245997,55.79,-111.22,repaired,365,1377.2067093721664,,,,True,unknown,2025-02-06,0,,2026-02-06,natural,1.0,natural,2026-02-06,False,2026-02-06,0.0,0.8484848484848485,86.19818927635657,0.9880339743981603
ABRAND00604_0000000002,ABRAND00604,1,0.010637512344496561,53.32,-115.31,repaired,365,289.51053596781844,,,,True,unknown,2021-11-13,0,,2022-11-12,natural,1.0,natural,2022-11-12,False,2022-11-12,0.0,0.8494031221303948,86.20882678870107,0.9881559053074715
ABRAND00643_0000000009,ABRAND00643,1,0.01061119404387985,52.88,-115.17,repaired,365,1604.4125394346336,,,,True,unknown,2025-10-17,0,,2026-10-17,natural,1.0,natural,2026-10-17,False,2026-10-17,0.0,0.8503213957759412,86.21943798274495,0.9882775345471608
ABRAND00706_0000000002,ABRAND00706,1,0.010564661403287772,52.3,-114.95,repaired,365,344.120602957012,,,,True,unknown,2022-01-13,0,,2023-01-13,natural,1.0,natural,2023-01-13,False,2023-01-13,0.0,0.8512396694214875,86.23000264414824,0.9883986304133513
ABRAND00095_0000000010,ABRAND00095,3,0.010551686967951251,54.72,-119.5,repaired,365,1251.7170802845467,,,,True,unknown,2024-10-05,0,,2025-10-05,natural,1.0,natural,2025-10-05,False,2025-10-05,0.0,0.852157943067034,86.2405543311162,0.9885195775619988
ABRAND00169_0000000006,ABRAND00169,1,0.010549209448138032,54.69,-118.97,repaired,365,493.0953677086472,,,,True,unknown,2022-06-26,0,,2023-06-26,natural,1.0,natural,2023-06-26,False,2023-06-26,0.0,0.8530762167125804,86.25110354056434,0.9886404963124426
ABRAND00294_0000000005,ABRAND00294,2,0.010535274337580645,54.04,-117.24,repaired,365,256.6898521802849,,,,True,unknown,2021-10-11,0,,2022-10-10,natural,1.0,natural,2022-10-10,False,2022-10-10,0.0,0.8539944903581267,86.26163881490193,0.9887612553337459
ABRAND00477_0000000011,ABRAND00477,1,0.010533163246613565,53.33,-115.79,repaired,365,1139.40176124328,,,,True,unknown,2024-06-06,0,,2025-06-06,natural,1.0,natural,2025-06-06,False,2025-06-06,0.0,0.8549127640036731,86.27217197814855,0.988881990156982
ABRAND00287_0000000001,ABRAND00287,2,0.01053228451250457,54.15,-117.37,repaired,365,205.65760030496926,,,,True,unknown,2021-08-16,0,,2022-08-15,natural,1.0,natural,2022-08-15,False,2022-08-15,0.0,0.8558310376492194,86.28270426266106,0.9890027149078583
ABRAND00706_0000000007,ABRAND00706,3,0.01040703693454779,52.3,-114.95,repaired,365,1467.4421615485242,,,,True,unknown,2025-06-21,0,,2026-06-21,natural,1.0,natural,2026-06-21,False,2026-06-21,0.0,0.8567493112947658,86.29311129959561,0.9891220040269277
ABRAND00233_0000000011,ABRAND00233,2,0.010308368780160858,54.54,-118.55,repaired,365,1214.837137394445,,,,True,unknown,2024-09-26,0,,2025-09-26,natural,1.0,natural,2025-09-26,False,2025-09-26,0.0,0.8576675849403123,86.30341966837577,0.989240162176895
ABRAND01102_0000000002,ABRAND01102,2,0.010301466718854412,50.5,-111.25,repaired,365,727.1681739238704,,,,True,unknown,2023-03-29,0,,2024-03-28,natural,1.0,natural,2024-03-28,False,2024-03-28,0.0,0.8585858585858586,86.31372113509462,0.9893582412130071
ABRAND00856_0000000001,ABRAND00856,2,0.010186424644345974,52.86,-114.35,repaired,365,178.66173912211292,,,,True,unknown,2021-07-24,0,,2022-07-23,natural,1.0,natural,2022-07-23,False,2022-07-23,0.0,0.859504132231405,86.32390755973897,0.9894750015963836
ABRAND00976_0000000001,ABRAND00976,2,0.010166157125177875,56.07,-114.05,repaired,365,144.92873597653582,,,,True,unknown,2021-06-16,0,,2022-06-15,natural,1.0,natural,2022-06-15,False,2022-06-15,0.0,0.8604224058769513,86.33407371686415,0.9895915296663241
